"affy_hg_u133_plus_2","ensembl_gene_id","gene_biotype","external_gene_name","p_value"
"201492_s_at","ENSG00000279115","processed_pseudogene","",NA
"204806_x_at","ENSG00000235220","protein_coding","HLA-F",NA
"200904_at","ENSG00000225201","protein_coding","HLA-E",NA
"200905_x_at","ENSG00000225201","protein_coding","HLA-E",NA
"203168_at","ENSG00000234539","protein_coding","ATF6B",NA
"203577_at","ENSG00000285515","lncRNA","",NA
"202357_s_at","ENSG00000241534","protein_coding","CFB",NA
"204770_at","ENSG00000228582","protein_coding","TAP2",NA
"204769_s_at","ENSG00000228582","protein_coding","TAP2",NA
"200041_s_at","ENSG00000235439","protein_coding","DDX39B",NA
"202262_x_at","ENSG00000233076","protein_coding","DDAH2",NA
"202833_s_at","ENSG00000277377","protein_coding","SERPINA1",NA
"202411_at","ENSG00000275214","protein_coding","IFI27",NA
"203062_s_at","ENSG00000237095","protein_coding","MDC1",NA
"203061_s_at","ENSG00000237095","protein_coding","MDC1",NA
"203052_at","ENSG00000204364","protein_coding","C2",NA
"203146_s_at","ENSG00000237112","protein_coding","GABBR1",NA
"203577_at","ENSG00000285224","lncRNA","",NA
"202840_at","ENSG00000276833","protein_coding","TAF15",NA
"204522_at","ENSG00000225682","protein_coding","DXO",NA
"203062_s_at","ENSG00000228575","protein_coding","MDC1",NA
"203061_s_at","ENSG00000228575","protein_coding","MDC1",NA
"204279_at","ENSG00000243594","protein_coding","PSMB9",NA
"202928_s_at","ENSG00000225553","protein_coding","PHF1",NA
"201703_s_at","ENSG00000206489","protein_coding","PPP1R10",NA
"201702_s_at","ENSG00000206489","protein_coding","PPP1R10",NA
"201390_s_at","ENSG00000206406","protein_coding","CSNK2B",NA
"1007_s_at","ENSG00000234078","protein_coding","DDR1",NA
"201400_at","ENSG00000275903","protein_coding","PSMB3",NA
"203694_s_at","ENSG00000233418","protein_coding","DHX16",NA
"202357_s_at","ENSG00000243570","protein_coding","CFB",NA
"201500_s_at","ENSG00000206501","protein_coding","PPP1R11",NA
"204770_at","ENSG00000223481","protein_coding","TAP2",NA
"204769_s_at","ENSG00000223481","protein_coding","TAP2",NA
"204522_at","ENSG00000224313","protein_coding","DXO",NA
"204295_at","ENSG00000280627","protein_coding","SURF1",NA
"202234_s_at","ENSG00000281917","protein_coding","SLC16A1",NA
"202236_s_at","ENSG00000281917","protein_coding","SLC16A1",NA
"202235_at","ENSG00000281917","protein_coding","SLC16A1",NA
"201703_s_at","ENSG00000235291","protein_coding","PPP1R10",NA
"201702_s_at","ENSG00000235291","protein_coding","PPP1R10",NA
"202581_at","ENSG00000224501","protein_coding","HSPA1B",NA
"200800_s_at","ENSG00000224501","protein_coding","HSPA1B",NA
"204697_s_at","ENSG00000276781","protein_coding","CHGA",NA
"202667_s_at","ENSG00000206288","protein_coding","SLC39A7",NA
"202307_s_at","ENSG00000224748","protein_coding","TAP1",NA
"200702_s_at","ENSG00000273761","protein_coding","DDX24",NA
"200694_s_at","ENSG00000273761","protein_coding","DDX24",NA
"203577_at","ENSG00000233149","protein_coding","GTF2H4",NA
"204795_at","ENSG00000233564","protein_coding","PRR3",NA
"201390_s_at","ENSG00000258589","protein_coding","",NA
"204279_at","ENSG00000240508","protein_coding","PSMB9",NA
"202326_at","ENSG00000227333","protein_coding","EHMT2",NA
"203052_at","ENSG00000226560","protein_coding","C2",NA
"201137_s_at","ENSG00000229295","protein_coding","HLA-DPB1",NA
"200904_at","ENSG00000230254","protein_coding","HLA-E",NA
"200905_x_at","ENSG00000230254","protein_coding","HLA-E",NA
"204090_at","ENSG00000226033","protein_coding","STK19",NA
"203290_at","ENSG00000257473","protein_coding","HLA-DQA2",NA
"201390_s_at","ENSG00000258543","protein_coding","",NA
"204795_at","ENSG00000229202","protein_coding","PRR3",NA
"202875_s_at","ENSG00000232005","protein_coding","PBX2",NA
"202876_s_at","ENSG00000232005","protein_coding","PBX2",NA
"204265_s_at","ENSG00000236697","protein_coding","GPSM3",NA
"201631_s_at","ENSG00000227231","protein_coding","IER3",NA
"203052_at","ENSG00000235696","protein_coding","C2",NA
"204806_x_at","ENSG00000229698","protein_coding","HLA-F",NA
"203694_s_at","ENSG00000233561","protein_coding","DHX16",NA
"203727_at","ENSG00000206353","protein_coding","SKIV2L",NA
"204265_s_at","ENSG00000234508","protein_coding","GPSM3",NA
"202702_at","ENSG00000234046","protein_coding","TRIM26",NA
"200091_s_at","ENSG00000280831","protein_coding","RPS25",NA
"202830_s_at","ENSG00000281500","protein_coding","SLC37A4",NA
"200825_s_at","ENSG00000280682","protein_coding","HYOU1",NA
"203146_s_at","ENSG00000206466","protein_coding","GABBR1",NA
"201846_s_at","ENSG00000281766","protein_coding","RYBP",NA
"203448_s_at","ENSG00000226361","processed_pseudogene","TERF1P5",NA
"201137_s_at","ENSG00000226826","protein_coding","HLA-DPB1",NA
"202239_at","ENSG00000102699","protein_coding","PARP4",NA
"204305_at","ENSG00000027001","protein_coding","MIPEP",NA
"203168_at","ENSG00000233323","protein_coding","TNXB",NA
"200799_at","ENSG00000215328","protein_coding","HSPA1A",NA
"200800_s_at","ENSG00000215328","protein_coding","HSPA1A",NA
"204090_at","ENSG00000206342","protein_coding","STK19",NA
"203577_at","ENSG00000236895","protein_coding","GTF2H4",NA
"200682_s_at","ENSG00000236444","protein_coding","UBE2L5",NA
"203292_s_at","ENSG00000280616","protein_coding","VPS11",NA
"204190_at","ENSG00000132952","protein_coding","USPL1",NA
"202702_at","ENSG00000230230","protein_coding","TRIM26",NA
"200679_x_at","ENSG00000189403","protein_coding","HMGB1",NA
"200680_x_at","ENSG00000189403","protein_coding","HMGB1",NA
"202357_s_at","ENSG00000241253","protein_coding","CFB",NA
"202723_s_at","ENSG00000288542","lncRNA","",NA
"202875_s_at","ENSG00000224952","protein_coding","PBX2",NA
"202876_s_at","ENSG00000224952","protein_coding","PBX2",NA
"202307_s_at","ENSG00000230705","protein_coding","TAP1",NA
"204522_at","ENSG00000206346","protein_coding","DXO",NA
"1007_s_at","ENSG00000215522","protein_coding","DDR1",NA
"204090_at","ENSG00000226257","protein_coding","STK19",NA
"203932_at","ENSG00000241674","protein_coding","HLA-DMB",NA
"202875_s_at","ENSG00000206315","protein_coding","PBX2",NA
"202876_s_at","ENSG00000206315","protein_coding","PBX2",NA
"204770_at","ENSG00000206299","protein_coding","TAP2",NA
"204769_s_at","ENSG00000206299","protein_coding","TAP2",NA
"201703_s_at","ENSG00000227804","protein_coding","PPP1R10",NA
"201702_s_at","ENSG00000227804","protein_coding","PPP1R10",NA
"200904_at","ENSG00000233904","protein_coding","HLA-E",NA
"200905_x_at","ENSG00000233904","protein_coding","HLA-E",NA
"204042_at","ENSG00000132970","protein_coding","WASF3",NA
"201049_s_at","ENSG00000235650","protein_coding","RPS18",NA
"204806_x_at","ENSG00000137403","protein_coding","HLA-F",NA
"1007_s_at","ENSG00000137332","protein_coding","DDR1",NA
"203727_at","ENSG00000232616","protein_coding","SKIV2L",NA
"203240_at","ENSG00000281123","protein_coding","FCGBP",NA
"201252_at","ENSG00000281221","protein_coding","PSMC4",NA
"203577_at","ENSG00000285192","lncRNA","",NA
"204806_x_at","ENSG00000206509","protein_coding","HLA-F",NA
"200045_at","ENSG00000232169","protein_coding","ABCF1",NA
"202702_at","ENSG00000137313","protein_coding","TRIM26",NA
"201049_s_at","ENSG00000096150","protein_coding","RPS18",NA
"202304_at","ENSG00000102531","protein_coding","FNDC3A",NA
"203307_at","ENSG00000232143","protein_coding","GNL1",NA
"203727_at","ENSG00000225737","protein_coding","SKIV2L",NA
"203156_at","ENSG00000023516","protein_coding","AKAP11",NA
"200904_at","ENSG00000229252","protein_coding","HLA-E",NA
"200905_x_at","ENSG00000229252","protein_coding","HLA-E",NA
"202307_s_at","ENSG00000224212","protein_coding","TAP1",NA
"204090_at","ENSG00000234947","protein_coding","STK19",NA
"201580_s_at","ENSG00000125827","protein_coding","TMX4",NA
"201581_at","ENSG00000125827","protein_coding","TMX4",NA
"202667_s_at","ENSG00000226614","protein_coding","SLC39A7",NA
"202345_s_at","ENSG00000236972","processed_pseudogene","FABP5P1",NA
